key,value
Angaraes,0
Ascope,1
Ayabaca,2
Cajabamba,3
Cajamarca,4
Cangallo,5
Casma,6
Celendin,7
Chepen,8
Chiclayo,9
Chota,10
Chupaca,11
Churcampa,12
Contralmirante Villar,13
Cutervo,14
Daniel Alcides Carrión,15
Dos de Mayo,16
Ferreñafe,17
Gran Chimu,18
Hualgayoc,19
Huamalies,20
Huamanga,21
Huancabamba,22
Huancavelica,23
Huancayo,24
Huanta,25
Huanuco,26
Huaraz,27
Huari,28
Huarmey,29
Huaylas,30
Jaen,31
Julcan,32
Junin,33
Lambayeque,34
Leoncio Prado,35
Lima,36
Luya,37
Morropon,38
Otuzco,39
Oxapampa,40
Pacasmayo,41
Paita,42
Pataz,43
Piura,44
Pomabamba,45
Recuay,46
Santa,47
Satipo,48
Sechura,49
Sullana,50
Talara,51
Tarma,52
Tayacaja,53
Trujillo,54
Tumbes,55
Vilcas Huaman,56
Viru,57
Yauli,58
Zarumilla,59
